year,genres,hours_game
2014,Massively Multiplayer,586079.9
2016,Massively Multiplayer,416670.12
2010,Massively Multiplayer,124075.34
2003,Massively Multiplayer,99918.40000000001
2009,Massively Multiplayer,33700.47
2007,Massively Multiplayer,1962.03
2008,Massively Multiplayer,1734.92
2014,Photo Editing,1027.67
2016,Photo Editing,637.72
2007,Photo Editing,184.8
2012,Photo Editing,44.629999999999995
2015,Photo Editing,11.19
2006,Photo Editing,2.89
2011,RPG,3799327.0999999996
2012,RPG,2724182.14
2015,RPG,2526552.27
2013,RPG,2085054.9
2010,RPG,1524343.1500000001
2014,RPG,1315905.08
2017,RPG,1125588.04
2016,RPG,988212.46
2009,RPG,427176.83999999997
2008,RPG,172109.24
2007,RPG,157723.37
2003,RPG,150514.54
2005,RPG,52431.73
2006,RPG,30641.989999999998
2002,RPG,29720.189999999995
1998,RPG,6303.49
1997,RPG,5993.969999999999
1999,RPG,5519.18
2001,RPG,2003.85
2004,RPG,1201.69
2000,RPG,887.3599999999999
1996,RPG,422.59000000000003
1988,RPG,232.76
2018,RPG,63.690000000000005
1992,RPG,36.05
1994,RPG,34.86
2015,Racing,624581.63
2014,Racing,92262.48
2013,Racing,78737.5
2016,Racing,77251.23
2008,Racing,40182.04
2009,Racing,39958.02
2010,Racing,34018.04
2011,Racing,22329.73
2012,Racing,16593.19
2007,Racing,9722.600000000002
2006,Racing,7102.28
2005,Racing,3590.14
2017,Racing,1936.1000000000001
1995,Racing,516.77
2003,Racing,516.01
1998,Racing,252.17999999999998
1997,Racing,155.32
2004,Racing,57.96
2000,Racing,50.25
1996,Racing,20.04
1994,Racing,4.84
1999,Racing,0.54
2006,Simulation,7408941.029999999
2013,Simulation,1817278.77
2015,Simulation,1531193.19
2010,Simulation,694297.4999999999
2014,Simulation,621633.39
2016,Simulation,601864.72
2012,Simulation,483126.88
2017,Simulation,407210.31
2011,Simulation,272452.97000000003
2009,Simulation,271459.34
2008,Simulation,78153.89
2007,Simulation,23414.829999999998
2003,Simulation,22635.660000000003
2002,Simulation,5889.76
2001,Simulation,4131.89
2005,Simulation,2917.18
2004,Simulation,2265.4900000000002
1999,Simulation,2155.1099999999997
1998,Simulation,1785.76
2000,Simulation,1157.29
1994,Simulation,155.87
1989,Simulation,84.74000000000001
1997,Simulation,83.03
2018,Simulation,36.71
1990,Simulation,32.129999999999995
1996,Simulation,31.97
1995,Simulation,16.33
1987,Simulation,3.92
1991,Simulation,2.41
1993,Simulation,1.08
1992,Simulation,0.18
1988,Simulation,0.02
2014,Software Training,6878.4800000000005
2013,Software Training,1646.16
2015,Software Training,610.0999999999999
2017,Software Training,156.37
2008,Software Training,34.36
2016,Software Training,8.02
2015,Sports,688417.49
2013,Sports,103204.32
2014,Sports,90428.55
2016,Sports,78305.29
2012,Sports,58576.619999999995
2010,Sports,39610.79
2011,Sports,15411.429999999998
2009,Sports,4161.42
2008,Sports,1625.5
2005,Sports,1162.77
1995,Sports,516.77
2017,Sports,381.17
2006,Sports,186.46
2007,Sports,21.81
2013,Strategy,2421120.95
2010,Strategy,2347379.81
2012,Strategy,1426399.78
2015,Strategy,1370062.36
2014,Strategy,838778.61
2011,Strategy,575220.61
2009,Strategy,529617.67
2016,Strategy,527320.39
2006,Strategy,287107.13
2008,Strategy,135192.06
2003,Strategy,122218.01000000001
2017,Strategy,97733.36
2004,Strategy,61440.02
2007,Strategy,52627.97
2005,Strategy,16866.01
2001,Strategy,15688.61
1999,Strategy,9582.67
2002,Strategy,8091.18
1993,Strategy,3047.77
1997,Strategy,2226.19
1995,Strategy,920.5699999999999
2000,Strategy,517.66
1998,Strategy,435.19000000000005
1988,Strategy,232.76
1996,Strategy,141.12
1994,Strategy,19.5
1990,Strategy,1.0
2014,Utilities,45195.64
2013,Utilities,10858.14
2015,Utilities,9641.49
2006,Utilities,6382.3
2016,Utilities,5333.06
2007,Utilities,184.8
2012,Utilities,172.32999999999998
2017,Utilities,156.73000000000002
2008,Utilities,34.36
2015,Video Production,27711.469999999998
2014,Video Production,8073.9400000000005
2013,Video Production,3735.47
2007,Video Production,184.8
2012,Video Production,66.84
2016,Video Production,23.089999999999996
2006,Video Production,2.89
2012,Web Publishing,32172.579999999998
2015,Web Publishing,5811.2699999999995
2013,Web Publishing,5561.5
2005,Web Publishing,1564.19
2014,Web Publishing,560.8
2007,Web Publishing,184.8
2017,Web Publishing,156.37
2016,Web Publishing,2.27
